zone_label,mgmt_area,rms_well,area_acres,sy,sy_source,baseline_year,baseline_gwe,endpoint_year,endpoint_gwe,dgwe_endpoint_minus_baseline_ft,cumulative_storage_endpoint_AF,avg_rate_AF_per_yr,hold_steady_need_AF_per_yr,project_AF_per_yr,project_name,coverage_net_AF_per_yr
14N02W29J001M,CCWD,14N02W29J001M,8085.4,0.1,uniform 0.10,1999,97.30,2015,18.00,-79.30,-126900,-4783,4783,0,,-4783
13N02W20H002M,CCWD,13N02W20H002M,7646.7,0.1,uniform 0.10,2007,207.48,2025,179.83,-27.65,-4896,-366,366,0,,-366
13N02W12L001M,CCWD,13N02W12L001M,7435.3,0.1,uniform 0.10,2000,69.59,2026,18.19,-51.40,-45764,-1772,1772,0,,-1772
13N01W22P002M,CCWD,13N01W22P002M,10244.6,0.1,uniform 0.10,2000,29.96,2013,35.56,+5.60,92509,2987,0,0,,+0
14N03W24C001M,CCWD,14N03W24C001M,4548.1,0.1,uniform 0.10,2000,84.91,2020,36.31,-48.60,-28066,-1086,1086,0,,-1086
13N02W15J001M,CCWD,13N02W15J001M,7804.9,0.1,uniform 0.10,1999,103.32,2014,46.92,-56.40,-56254,-2111,2111,0,,-2111
13N01E11A001M,RD108,13N01E11A001M,5447.2,0.1,uniform 0.10,1999,28.79,2025,28.15,-0.64,-1524,-65,65,0,,-65
14N01E35P003M,RD108,14N01E35P003M,6575.1,0.1,uniform 0.10,2011,32.16,2026,32.99,+0.82,-1803,-76,76,0,,-76
13N01W13P003M,RD108,13N01W13P003M,16873.0,0.1,uniform 0.10,1999,29.37,2026,19.20,-10.17,-21533,-826,826,0,,-826
12N01E06D004M,RD108,12N01E06D004M,6955.4,0.1,uniform 0.10,1999,29.34,2026,13.83,-15.52,-2645,-32,32,0,,-32
12N01E26A002M,RD108,12N01E26A002M,6793.9,0.1,uniform 0.10,1999,24.84,2026,14.33,-10.51,-7147,-225,225,0,,-225
11N01E02D001M,RD108,11N01E02D001M,6847.5,0.1,uniform 0.10,1999,23.47,2026,12.50,-10.97,-21355,-881,881,0,,-881
12N01E03R002M,RD108,12N01E03R002M,9221.9,0.1,uniform 0.10,2001,21.36,2026,20.90,-0.46,-1404,31,0,0,,+0
Dunnigan,Dunnigan,12N01W05B001M,10421.1,0.1,uniform 0.10,1999,59.90,2026,27.80,-32.10,-22601,-1250,1250,0,,-1250
13N01W07G001M,Other,13N01W07G001M,11227.5,0.1,uniform 0.10,1999,46.87,2026,11.80,-35.07,-36559,-1259,1259,0,,-1259
14N02W13N001M,Other,14N02W13N001M,10722.0,0.1,uniform 0.10,2000,38.45,2026,27.95,-10.50,411,57,0,0,,+0
15N01W05G001M,Other,15N01W05G001M,20104.8,0.1,uniform 0.10,1999,35.62,2026,43.32,+7.70,21077,816,0,0,,+0
15N02W19E001M,Other,15N02W19E001M,24621.0,0.1,uniform 0.10,1999,79.96,2025,71.31,-8.65,-20765,-819,819,0,,-819
14N02W22A005M,Other,14N02W22A005M,7305.1,0.1,uniform 0.10,2020,24.05,2026,22.46,-1.60,13996,393,0,0,,+0
14N03W14Q003M,Other,14N03W14Q003M,12514.1,0.1,uniform 0.10,2001,54.22,2022,-16.88,-71.10,14391,505,0,0,,+0
14N01W04K003M,Other,14N01W04K003M,30224.5,0.1,uniform 0.10,1999,31.93,2025,33.63,+1.70,8161,240,0,0,,+0
11N01E16P001M,Other,11N01E16P001M,16921.4,0.1,uniform 0.10,1999,29.50,2026,1.83,-27.67,-46818,-1070,1070,0,,-1070
11N02E20K004M,Other,11N02E20K004M,19704.5,0.1,uniform 0.10,1999,33.27,2026,26.97,-6.30,-12421,-483,483,0,,-483
10N02E09N001M,Other,10N02E09N001M,1357.7,0.1,uniform 0.10,2002,34.90,2026,28.16,-6.74,-2834,-72,72,0,,-72
10N02E06B001M,Other,10N02E06B001M,4744.1,0.1,uniform 0.10,2001,38.09,2026,26.78,-11.31,-6931,-168,168,0,,-168
10N02E03R002M,Other,10N02E03R002M,16978.8,0.1,uniform 0.10,2001,27.18,2026,17.68,-9.50,-36236,-917,917,0,,-917
10N01E02Q002M,Other,10N01E02Q002M,5632.1,0.1,uniform 0.10,2001,42.41,2026,30.56,-11.85,-23568,-738,738,0,,-738
