zone_label,mgmt_area,rms_well,area_acres,sy,sy_source,baseline_year,baseline_gwe,endpoint_year,endpoint_gwe,dgwe_endpoint_minus_baseline_ft,cumulative_storage_endpoint_AF,avg_rate_AF_per_yr,hold_steady_need_AF_per_yr,project_AF_per_yr,project_name,coverage_net_AF_per_yr
13N01W07G001M,Other,13N01W07G001M,10010.5,0.1,uniform 0.10,1999,46.87,2026,11.80,-35.07,-32597,-1123,1123,0,,-1123
14N02W29J001M,CCWD,14N02W29J001M,8818.8,0.1,uniform 0.10,1999,97.30,2015,18.00,-79.30,-138410,-5217,5217,0,,-5217
13N01E11A001M,RD108,13N01E11A001M,5596.2,0.1,uniform 0.10,1999,28.79,2025,28.15,-0.64,-1566,-67,67,0,,-67
14N02W13N001M,Other,14N02W13N001M,10731.9,0.1,uniform 0.10,2000,38.45,2026,27.95,-10.50,411,57,0,0,,+0
15N01W05G001M,Other,15N01W05G001M,20104.8,0.1,uniform 0.10,1999,35.62,2026,43.32,+7.70,21077,816,0,0,,+0
15N02W19E001M,Other,15N02W19E001M,24364.5,0.1,uniform 0.10,1999,79.96,2025,71.31,-8.65,-20549,-811,811,0,,-811
14N01E35P003M,RD108,14N01E35P003M,11563.0,0.1,uniform 0.10,2011,32.16,2026,32.99,+0.82,-3172,-134,134,0,,-134
13N01W13P003M,RD108,13N01W13P003M,14279.9,0.1,uniform 0.10,1999,29.37,2026,19.20,-10.17,-18224,-700,699,0,,-699
12N01E06D004M,RD108,12N01E06D004M,15169.5,0.1,uniform 0.10,1999,29.34,2026,13.83,-15.52,-5768,-71,71,0,,-71
14N02W22A005M,Other,14N02W22A005M,6830.3,0.1,uniform 0.10,2020,24.05,2026,22.46,-1.60,13087,368,0,0,,+0
14N03W14Q003M,Other,14N03W14Q003M,8614.8,0.1,uniform 0.10,2001,54.22,2022,-16.88,-71.10,9907,348,0,0,,+0
14N01W04K003M,Other,14N01W04K003M,26918.6,0.1,uniform 0.10,1999,31.93,2025,33.63,+1.70,7268,214,0,0,,+0
13N02W20H002M,CCWD,13N02W20H002M,9617.2,0.1,uniform 0.10,2007,207.48,2025,179.83,-27.65,-6157,-460,460,0,,-460
13N02W12L001M,CCWD,13N02W12L001M,4180.6,0.1,uniform 0.10,2000,69.59,2026,18.19,-51.40,-25732,-996,996,0,,-996
13N01W22P002M,CCWD,13N01W22P002M,6030.6,0.1,uniform 0.10,2000,29.96,2013,35.56,+5.60,54456,1758,0,0,,+0
14N03W24C001M,CCWD,14N03W24C001M,6994.1,0.1,uniform 0.10,2000,84.91,2020,36.31,-48.60,-43159,-1669,1669,0,,-1669
13N02W15J001M,CCWD,13N02W15J001M,6249.7,0.1,uniform 0.10,1999,103.32,2014,46.92,-56.40,-45045,-1690,1690,0,,-1690
12N01W05B001M,Dunnigan,12N01W05B001M,13239.9,0.1,uniform 0.10,1999,59.90,2026,27.80,-32.10,-28714,-1588,1588,0,,-1588
11N01E16P001M,Other,11N01E16P001M,12827.9,0.1,uniform 0.10,1999,29.50,2026,1.83,-27.67,-35492,-811,811,0,,-811
11N02E20K004M,Other,11N02E20K004M,15502.3,0.1,uniform 0.10,1999,33.27,2026,26.97,-6.30,-9772,-380,380,0,,-380
10N02E09N001M,Other,10N02E09N001M,1357.7,0.1,uniform 0.10,2002,34.90,2026,28.16,-6.74,-2834,-72,72,0,,-72
12N01E26A002M,RD108,12N01E26A002M,10089.0,0.1,uniform 0.10,1999,24.84,2026,14.33,-10.51,-10613,-334,334,0,,-334
11N01E02D001M,RD108,11N01E02D001M,10867.1,0.1,uniform 0.10,1999,23.47,2026,12.50,-10.97,-33891,-1398,1398,0,,-1398
10N02E06B001M,Other,10N02E06B001M,4744.1,0.1,uniform 0.10,2001,38.09,2026,26.78,-11.31,-6931,-168,168,0,,-168
10N02E03R002M,Other,10N02E03R002M,16978.8,0.1,uniform 0.10,2001,27.18,2026,17.68,-9.50,-36236,-917,917,0,,-917
12N01E03R002M,RD108,12N01E03R002M,9644.0,0.1,uniform 0.10,2001,21.36,2026,20.90,-0.46,-1468,33,0,0,,+0
10N01E02Q002M,Other,10N01E02Q002M,5632.1,0.1,uniform 0.10,2001,42.41,2026,30.56,-11.85,-23568,-738,738,0,,-738
