year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,15435,15435
2001,Dry,-28078,-12643
2002,Dry,-38797,-51440
2003,Above Normal,42147,-9292
2004,Below Normal,-22038,-31330
2005,Above Normal,79703,48373
2006,Wet,96127,144500
2007,Dry,-163686,-19186
2008,Critical,-1454,-20640
2009,Dry,-133470,-154110
2010,Below Normal,51143,-102967
2011,Wet,46897,-56070
2012,Below Normal,-84791,-140861
2013,Dry,-91481,-232342
2014,Critical,-118270,-350612
2015,Critical,-90602,-441214
2016,Below Normal,-31576,-472790
2017,Wet,184192,-288599
2018,Below Normal,-81572,-370171
2019,Wet,127404,-242767
2020,Dry,-129203,-371969
2021,Critical,-168101,-540071
2022,Critical,-124353,-664423
2023,Wet,178030,-486393
2024,Above Normal,91077,-395316
2025,Above Normal,32101,-363215
2026,Above Normal (provisional),-14266,-377480
