year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,4445,4445
2001,Dry,-19141,-14695
2002,Dry,-36500,-51195
2003,Above Normal,35091,-16105
2004,Below Normal,-18240,-34345
2005,Above Normal,70282,35937
2006,Wet,100051,135988
2007,Dry,-162213,-26225
2008,Critical,-8162,-34387
2009,Dry,-127854,-162241
2010,Below Normal,56587,-105654
2011,Wet,44577,-61077
2012,Below Normal,-85368,-146445
2013,Dry,-88851,-235296
2014,Critical,-122240,-357535
2015,Critical,-94827,-452362
2016,Below Normal,-35459,-487821
2017,Wet,176590,-311231
2018,Below Normal,-83733,-394964
2019,Wet,124875,-270089
2020,Dry,-129431,-399520
2021,Critical,-176171,-575691
2022,Critical,-121329,-697021
2023,Wet,179519,-517501
2024,Above Normal,86183,-431318
2025,Above Normal,21807,-409511
2026,Above Normal (provisional),-14182,-423693
